text,label
Nakakaon ug chocolate,1
Naguba ang sapatos,0
Lig-on kaayo pagkagama sa lamesa,1
Hinay kaayo mulakaw sa dalan,0
Nindot kaayo iyang mata,1
Giuwat sa akong amigo,0
Nalingaw siya sa ako mga gipang ingon,1
Daghang uk-ok sa balay,0
Gilibrehan ko og paniudto sa ako kauban,1
Nimala na ang linabhan,1
Langas kaayo ang karaoke,0
Naligsan og ligid ako tiil,0
Gipalitan og bago na bike,1
Labad ako ulo,0
Nahuman ra gyud ang galamon,1
Walay uk-ok diris amoa,1
Mutapot jud ang baho basta naay magluto diris balay ,0
Wala nay bilin pagkaon,0
Igo rako na abot sa oras,1
Cum laude biya to cya,1
Maayo ko moluto ,1
Nakatunob dagay to cyag tae,0
Ganahan kaayo ko sa ilang serbisyo,1
Maayo kaayo ang pagkahimo sa report,1
Lipay kaayo ko sa resulta,1
Nindot gyud ang tanang gipakita,1
Maayo ang ilang pag-atiman nila nako,1
Paspas ug limpyo ang serbisyo,1
Nalipay ko sa ilang pagtabang,1
Dali ra kaayo masabtan ilang gipanghisgutan,1
Hapsay ug nindot ang proseso,1
Ang lugar kay limpyo ug komportable,1
Maayo ang pagdala sa event,1
Lami kaayo ang ilang pagkaon,1
Walay hasol ang pagproseso sa request,1
Ang staff kay buotan ug tabian,1
Gihigugma nako ang ilang serbisyo,1
Nindot kaayo ang ilang website,1
"Gani, gusto ko mubalik diri pirmi",1
Salamat sa maayo nga serbisyo nila,1
Nalipay ko sa ilang reaksyon,1
Magrecommend gyud ko ani sa uban,1
Klaro ug han-ay ilang sistema,1
Dili gyud ko magmahay nga mitambong nila,1
Maayo kaayo ang pagpasabot sa detalyi,1
Komportable kaayo ko didto,1
Ang ilang produkto kay epektibo gyud,1
Dili ko ganahan sa ilang serbisyo,0
Dugay kaayo ang pagproseso,0
Gubot kaayo ilang sistema,0
Wala ko nalipay sa ilang tubag,0
Way klaro ang ilang gipangbuhat,0
"Pangit ang lugar, hugaw kaayo",0
Ilang staff kay way buot,0
Dili maayo ang pagkaandam,0
Nasuko gyud ko sa ilang gibuhat,0
Wala silay klaro nga plano,0
Bati ang ilang website,0
Wala gyud ko kasabot sa ilang gi esturya,0
"Puro lang saad, walay buhat",0
Boring ang trabaho nga ilang gihimo,0
Di maayo ang timpla sa ilang pagkaon,0
Naguba dayon ang ilang produkto,0
Naabtan kog pila ka oras sa linya,0
Gubot kaayo ang sistema sa event,0
Di nako mubalik anang lugar,0
Dili sila motubag sa tawag,0
Puro lang problema ang ilang serbisyo,0
Hugaw ang ilang opisina,0
Dili patas ilang trato,0
Nasayang akong panahon didto,0
Walay gamit ilang tambag,0
mga tawo kay pikon,0
gapalahi kay di makontento sa mga linya,0
pasensya kay mubo mi ug pasensya,1
mga storya nga bati kay di mapugngan,0
Lahi mo dala ug romansa,1
makabuang basta gani mga bisaya,0
Di ko gusto'g luha sa imong mawong,1
maot kaayo iyang gi buhat,0
makagaba ,0
ganahan kaayo ko ni kristo,1
lami kaayo ka,1
piste kang buanga ka,0
gi kuha niya akong kwarta,0
oras na para mupalit kag relo,1
dako akong grado,1
dako akong kalagot nimo,0
naligsan kog sakyanan,0
nigawas na akong anak sa skwelahan,1
Pastilan tawhana,0
Nag storyaanay mi sa kagawad ganina,1
Ni ana siya nako nga gamay ug grado daw ko,0
Gipahulam ko niyag lapis,1
Daghan kaayo kog kwarta gi kawat,0
wala nako gi tarong,1
nakadawat kog pagkaon,1
ikaw ang bugtong itik nga ga kapa-kapa sa akong kasing-kasing,1
Na hinaykan kos imong gibuhat,0
Imong gikawat akong asawa,0
Nangaon mi sa imong bana ganina,1
ga kan-anay mi ug pancit,1
Ana siya lami kaayo,1
Pero wala ko nalingaw,0
Kalibangon kaayo ko ganina paghuman nako ug kaon sa karinderya,0
ang itlog nabuak,0
lami kaayo akong hotdog,1
Ang pansit pangpataas sa kinabuhi,1
Nganong wala gi reseta sa doktor?,0
Makagagahum nga duso,1
Batia ang kasakit,0
Gipanganak ko nga gwapo,1
Gipanganak ka nga maot,0
Maota nimog batasan,0
Gihigugma jud kos akong pamilya,1
Wala nako kabati ug gugma sukad nagbulag mi,0
Ug kay ngano man ka gapatuga ug gugma sa tawong wala ga gugma nimo,0
Basta dumaguete chada,1
Naka libre ko ug plete,1
Wala ko gihatagan ug sukli,0
Ni bunga rajud ang akong pag paningkamot,1
Siguro kulang ko pagka tawo,0
Sayona raman ana oy,1
Nakadawat ko og maayong balita karon buntag,1
Dili ko ganahan sa iyang tinubagan,0
Naangkon nako ang akong gipangandoy,1
Gipasakitan ko sa iyang mga pulong,0
Nakapahulay gyud ko sa baybayon,1
Wala siya nituman sa iyang saad,0
Nalingaw mi sa among paglaag,1
Gibyaan mi sa ulan nga walay kabalaka,0
Nahuman nako ang akong proyekto,1
Way klaro iyang pamatasan,0
Napromote ko sa akong trabaho,1
Gikapoy ko'g pamati,0
Naayo na ang akong gibati,1
Gikasakitan ko sa kalit nga pagkabungkag,0
Nagkasinabot na mi sa akong igsoon,1
Gipasanginlan ko bisag walay sala,0
Nakaamgo siya sa iyang sayop ug nagpasaylo,1
Napuno na ko sa iyang mga bakak,0
Nakaadto ko sa akong paboritong lugar,1
Gikonsensya ko sa akong gibuhat,0
Malipayong mi nga miabot siya balik,1
"Puro lang pasalig, walay buhat",0
Nabati nako ang kalinaw sa kasilinganan,1
Nag-away mi tungod sa gamay nga butang,0
Nakapalit ko og bag-ong libro nga nindot,1
Naguba ang akong cellphone sa kalit,0
Nakatilaw ko og kaayohan gikan sa uban,1
Way respeto ang uban sa kasabutan,0
Nahimamat nako ang akong mga daan nga amigo,1
Dili maayo ang ilang pagdumala,0
Nagmalinawon ang among panagtapok,1
Gihilantan ko ug wala pa ko nakaayo,0
Malipayong nagsaulog ang tanan sa pista,1
Gitoyo gyud niya nga samdan ko,0
Nakakita ko og trabaho nga akong gusto,1
Gisalikway ko sa akong mga kauban,0
Ang tanom namo misidlak ug maayo,1
Gibiyaan siya sa iyang pamilya,0
Gitabangan ko sa akong silingan,1
Wala siya maningkamot,0
Naangkon namo ang among gitinguha,1
Gipasagdan ko niya sa lisod nga panahon,0
Gihigugma ko sa mga tawo sa akong palibot,1
Gisamokan ko sa gubot nga palibot,0
Nindot ang tingog sa bag-ong artista,1
Bati kaayo ang ilang serbisyo sa restawran,0
Ang iyang pagkahuman og eskwela usa ka inspirasyon,1
Gisalikway siya sa trabaho,0
Maayo kaayo ang dagan sa akong karera karon,1
Gikapoy nako og sabot sa parehas nga isyu,0
Gikawatan kos ako amigo,0
Nanglibre ako amigo,1
Pero akong kwarta gamit,0
Nangaligo mi sa dagat sa akong birthday,1
Walay lami ang isaw,0
Nadugmo akong amigo,0
Gitabangan siyag katawa,1
Ga tuyok-tuyok ko sa UST gahapon,1
Gilibrehan kog plete pa uli ni kuan,1
Kapoya man diay kaayo,0
Lingaw raman pud kay daghang kasabay,1
Gaguol jud kos panghitabo ganina,0
Bahog lubot,0
Gwapo ko,1
Batia nmog alot,0
Maota nmog nawng,0
Boloka nmo oi,0
Wa ko kasabot sa imong punto,0
Naay grasya nga miabot,1
Gipul-an ko,0
Maayo kaayo imong gibuhat,1
Sakit akong tiyan,0
Gipromote ko sa trabaho,1
Malipayong adlaw,1
Ayaw ko samoka,0
Walay signal diri,0
Makadasig imong storya,1
Guba na sad ni,0
Buyod ang akong gibati,0
Palpak akong adlaw,0
Gimingaw ko sa akong pamilya,1
Dili ko ganahan nimo,0
Nindot kaayo ang panahon,1
Bati kaayo ang serbisyo,0
Kapoy sige'g trabaho,0
Maayo imong gibuhat,1
Gihigugma tika,1
Salamat sa imong tabang,1
Naay dakong grasya,1
Maayo ang panahon karon,1
Guba akong selpon,0
Bati akong gibati karon,0
Nawad-an ko'g gana,0
Walay lami ang sud-an,0
Pwerteng bati-a sa adlaw,0
Ganahan ko sa pagkaon,1
Wala koy gana,0
Gikapoy na ko,0
Walay ayo ang salida,0
Na-late ko sa trabaho,0
Makalipay ang balita,1
Nalipay ko sa imong mensahe,1
Init kaayo akong ulo,0
Daug ta sa dula!,1
Nindot imong sinina,1
Nasuko ko nimo,0
Nalingaw ko sa salida,1
Dako kaykag natabang nako,1
Gihigugma ko sa akong pamilya,1
Gimingaw ko nimo,1
Nag-away mi sa akong uyab,0
Naglagot ko nimo,0
Lami ang paniudto,1
Nindot imong haircut,1
Way lingaw kaayo ang klase,0
Maayo imong gibati?,1
Ganahan kaayo ko sa serbisyo,1
Nalingaw kos ilang performance,1
Mga tawo didto buotan ra tabian,1
Angay gyud nako ni i endorso,1
Bati ang ilang pakig-istorya sa customer,0
nindot kaayo and experience,1
nindot kaayo ilang serbisyo,1
Dali ra kaayo ang pag process,1
Dali ra nila naresolba akong issue,1
dautan ilang pagka-organize,0
Dili hingamigo ang mga tawo,0
Dili gyud ko magmahay sa akong experience,1
Dili kapugngan akong kalipay didto,1
Dili ko kontento sa ilang serbisyo,0
Dili maayo ang coordination,0
Dili maayo ilang pagdawat sa reklamo,0
Dili maayo ilang systema,0
Dili worth it ang experience,0
Enjoyable kaayo akong time didto,1
nindot kaayo ang pag-handle sa mga butang,1
Nindot nga serbisyo bisan sa kadaghan sa tawo,1
"ganina ra ko buntag gahulat, wala gyud ko gitagad",0
Ganahan ko mubalik,1
Ganahan ko sa ilang pagstorya sa tinuod,1
Gi-baliwala ra ko,0
Nadawat kos trabaho,1
Gihasol ko sa tibuok adlaw,0
Gi-hasolan ra ko,0
Wa ko tagda sa staff,0
Gikapoy ko sa kakulangan og sistema,0
Gikapoy ko sa sige'g reklamo,0
Gikapoy nako sa ilang ka-ineffective,0
Gikasuko ko sa ilang batasan,0
Gi-stress ko sa ilang process,0
Grabe ka dugay ilang response time,0
Grabe ka walay klaro ilang gi-process,0
"Grabe, bati kaayo ang ilang pag-atiman",0
Maayu kaayo ang ilang serbisyo bisan peak hours,1
Gubot kaayo ilang proseso,0
Hapsay ug sayon ilang proseso,1
Highly recommended gyud!,1
Tinuod ug tarong ang ilang approach,1
Hugot ilang pag-atiman sa customers,1
Ganahan kos experience,1
Ilang serbisyo kay makasapot,0
Ilang serbisyo kay over and beyond gyud,1
"pagka propesyonal ani nila, oy",1
klaro kaayo sa instruksyon na limpyohan ra ang palibot,1
Klaro kaayo nga well-trained ilang mga tao,1
Lingaw kaayo ang kasinatian!,1
lipay ko nga nakasulay ko didto,1
Maayo kaayo ang ilang customer care,1
Maka-lipay ilang treatment sa mga customer,1
maka-inspire kaayo ilang dedication,1
Makalagot ilang pagtrato sa mga customer,0
maka-relax gyud ko sa ang ambience,1
makatagam gyud ni sila aning ilang serbisyo,0
Malipayong kaayo ko sa resulta!,1
murag wala man silay klaro ning sistema nila,0
na-disappointed ko sa ilang gipakita,0
gamahay ko kay ngano ko niadto didto,0
sige na ko og reklamo kay mao gihapon resulta,0
"Ga-sige kog hulat, walay klaro",0
Naguba akong adlaw tungod nila,0
Nasuko ko tungod sa ilang delay,0
Nice kaayo ilang customer support,1
"Nindot kaayo ang lugar, relaxing kaayo",1
"para nako, ok na to",1
sayop ang ilang gi-offer nga solusyon,0
pas-pas kaayo ang ilang pag-lihok sa trabaho,1
Pas-pas ug maayo pud ang ilahang serbisyo,1
Maayu kaayo ilang serbisyo para nako,1
klaro kaayo nga limpyo ang ilahang trabaho,1
nindot kaayo ang experience,1
sayang kaayo ang oras nako didto,0
sayop nag ilang pag-implement sa plano,0
sige ko'g balik kay sige sila masayop,0
Sobra ra sa kasamok ang ilahang serbisyo,0
sulit kaayo ang akong balayranan,1
Maayu kaayo pag-atiman sa ilahang staff,1
Grabe kaayu ang ilang effort para makatabang,1
Nagapasalamat kaayo ko sa ilang tabang,1
Tinuod gyud nga bati ilang serbisyo,0
Tinuod nga maayong serbisyo,1
Marespeto ilang staff,1
maayu gyud nila pag-atiman,1
"Wala gyuy problema, oke ra tanan",1
Wala ko kahuman tungod sa ilang kapakyasan,0
Wala ko malipay,0
wala koy nahimo karong adlawa,0
Wala koy plano mobalik pa,0
dili maayo ang ilang pag explain,0
Walay klaro ang ilang performance,0
Walay kasiguraduhan ilang serbisyo,0
wa jud klaro gitubag sa akong concern,0
walay respeto ang ilang trabahante,0
walay ayo ilang serbisyo,0
bati nga serbisyo akong nasinati,0
Oke pa sa alright,1
Bahalag saging basta labing,1
Nalipay ko na nagkita kita,1
Nalipay ko na naghinausa kita,1
Nalipay ko na nagkuyog tang duha,1
Naguol ko na nilakaw ka,0
Naguol ko mo biya na ka,0
Gibati ko og kalagot sa imong gibuhat,0
Gibati ko og kalipay sa imong gibuhat,1
Gibati ko og kakapoy sa akong gibuhat,0
Nalipay ko sa akong nasinati,1
Naguol ko sa akong nasinati,0
Nahimuot ko og maayo ,1
Sakit kaayo sa kasing-kasing ang imong gibuhat,0
Sakit sa pamati imong mga pulong,0
Malipayong adlaw sa tanan!,1
Nindot kaayo among bakasyon sa Bohol,1
Gihigugma tikaw,1
Maayo ang inyong serbisyo,1
gi-lamian ko sa pagkaon ,1
nalipay ko kay nakapasar ko,1
Ang imong tabang dako og natabang nako,1
Gwapo kaayo imong hitsura,1
Malumo og buotan siyang pagka bata,1
Ang tanom namulak og maayo sa akong pag atiman,1
Nalingaw gyud ko sa salida gabii,1
Maayo mo tudlo ang atong maestra,1
Nakadawat ko og bonus sa akong sweldo,1
Makasuko ilang bati na serbisyo,0
walay lami ang ilahang pagkaon dili ko ganahan,0
Grabe kaayo ang traffic makalagot,0
Nasakitan ko sa mga pulong na iyang gibuy-an,0
walay klaro ang ilahang serbisyo ,0
dili ko layhan mubalik anang lugara,0
bati kaayo ang salida ga sayang-sayang lang sa oras,0
galagot ko sa iyang batasan,0
Gikapoy na ko og trabaho,0
nasakitan ko sa akong uyab,0
Bati ka'g batasan,0
Bati ka'g nawong,0
Pisot ka,0
Wa kay batasan,0
Baho ka'g baba,0
Gwapaha nimo oi,1
Gwapoha nimo oi,1
Plastik kayka,0
Paepal kayka oi,0
Bright kaayu ka,1
In-love ako sa imo,1
Ikaw ang bugtong itik sa akong dughan,1
Bogo,0
Giatay,0
Baho ka'g ilok,0
Tsismosa,0
Humot kaayu ang palibot,1
Dako kaayu ka'g ulo,0
Bulyagon kayka oi,0
Ilabay tika run,0
Tabangan tika,1
Naibog ko nimo,1
Gimingaw ko nimo,1
Gihilantan ko,0
Mangaon na ta,1
Nalipay kaayu mi,1
Pastilan jud ka,0
Mo absent ta,0
Wala nay sud-an,0
Wala nay pagkaon,0
Giuhaw ko,0
Mangayo ko og pasaylo,1
Pasayloon na tika,1
Jejemon man ka,0
Batia nimo og nawng,0
Bogo rapud kayka,0
Manlaag na ta!,1
Magtuun na ko,1
Nakapasar ko,1
Pinangga ko sa Ginoo,1
Gihigugma ko ang Ginoo,1
Ang Ginoo naa kanunay sa ato,1
Labad ako ulo,0
Gigutom nako,0
Sakit na ako tiyan,0
Manlaag na ta!,1
Hugawa pud diari,0
Way lami imong pagkaon,0
Wa kay klaro nga pagka maestro,0
Piskot,0
Yati,0
Gwapa kaayo ka,1
Bright jud ka,1
Maayo kaayo ka mo-storya,1
Buotan kaayo ka,1
Nindot imong smile,1
Humble ra kaayo ka,1
Idol tika oy,1
Payter kaayo ka,1
Lipay kaayo ko nimo,1
Paspas ka mosabot,1
Gwapaha nimog mata,1
Murag artista imong hitsura,1
Kalma ra kaayo ka,1
Salig ko nimo,1
Nindot imong utok,1
Supporta ko nimo,1
Dasig kaayo ka,1
Lingaw ka kuyog,1
Gimingaw ko nimo,1
Maayo ka mosayaw,1
Ganahan kaayo ko nimo,1
Proud kaayo ko nimo,1
Naa kay potential,1
Cool kaayo ka,1
Di jud ka boring,1
Bati ka'g nawong,0
Wa kay klaro,0
Pisot ka,0
Hambugero ka,0
Way ayo imong batasan,0
Gubot kaayo ka,0
Paepal ra ka,0
Plastik kaayo ka,0
Daut imong kinaiya,0
Badlungon ka,0
Palaaway ka,0
Palahubog ka,0
Tapulan ka,0
Samokan kaayo ka,0
Wa kay pulos,0
Way buot,0
Lain kaayo kag dagway,0
Yawyawon ka,0
Saba kaayo ka,0
Wa ka'y respeto,0
Hilabtanon ka,0
Pirmi raka mag-inarte,0
Bogo ka,0
Binuang ra ka,0
Dili ka kasaligan,0
utok bulinaw,0
baga kaayu ka ug nawong,0
ampoan ra nato na,1
Mura ka ug si allan,0
Itoma,0
naluthan akong tiil,0
mura naka ug negro sa ka itom,0
Uy akong negro,1
Wa man kay JOY,0
Bulbul ka,0
punder ang suga,0
I labyu,1
labyu,1
I miss yew,1
baho ka ug ilok,0
hapa naay hapon,0
nindot kaayu siya mo tudlo,1
nasuko siya nimo,0
nangluod si pat nimo,0
nindota sa ilang balay,1
wala koy kwarta ,0
laag ta,1
dula ta dota,1
naputlan mi ug suga gabie,0
gilungkab amoang balay gahapon,0
nakaliabng ko sa akong short,0
nahurot na akong pasensiya,0
mo simba mi ugma,1
na buros akong uyab,1
nauli na si papa,1
makalingaw kaayu among gidula,1
gwapohas leo deonaldo,1
nag dala ug pan si papa,1
gibunalan ko ni papa ganina,1
gihapak kos pan ni papa,0
gipalitan ko ug dulaan ni mama,1
gi atake si papa sa kasing kasing,0
nasakpan ko nga wala ni sulod,1
daghan nadakpan nga nag sugal,1
Gimingaw ko ni alex,1
putot,0
taas kaayu ka,1
pulag lubot,0
puyo kaayu siya na pagka tawo,1
manggihatagon siya nga tawo,1
gidawat na siya sa gi applyan,1
bakog lubot,1
na pasmo na siya mao nabuang,0
namista na sila gabie,1
puti kaayu siya,1
Hamis kaayu siya ug panit,1
nindot kaayu ang dagat sa amoa,1
kugihan kaayu siya mo tuon,1
nakaasar rako sa klase,1
mo graduate nako sunod bulan,1
mo bisita mi nilang lola ug lolo ugma,1
barato ra kaayu ang sudan sa kan anan,1
wala na ma order?,0
CHEF! wala na mong MENU?,0
butbuton mana siya,0
masaligan mana siya nga tawo,1
Amigo man mi niya,1
makapahaway najud ko,1
naka palit ko ug bag.o na TV,1
nawala akong pitaka,0
mag ihaw mi ug manok unya,1
gilagas ko ug sigbin gabie,0
naay abat nang punuan likod sa amoa,0
mangumpisal na siya sa iyang sala,1
giluas man ko uy,0
puti kaayu siya ug tango,1
nakatunob ko ug tae ,0
nawala najud akong hilanat,1
humana amoang klase,1
gipalawas ko sa akong asawa,0
dato nami,1
kita na siya ug lain,0
gilagas mi ug iro,0
but.an kaayu ilang iro,1
naluwas ra ang iro sa dagat,1
